SEXO; NUM_HIJOS; ANNO_ANTIGUEDAD; SBA_IMPORTE; NUM_CURSOS; EVP_NUM; DESEMPENNO
1;0;24;40000;2;3.95;1
1;0;25;40000;2;3.95;1
1;0;26;40000;0;1.25;1
1;0;27;40000;0;0;1
1;0;23;46000;2;5.2;1
1;0;24;46000;2;3.95;1
1;0;25;46000;2;3.95;1
1;0;26;46000;0;1.25;0
1;0;27;46000;0;0;1
1;2;23;40000;2;5.2;1
1;2;24;41000;2;7.7;1
1;2;25;41000;2;7.7;1
1;2;26;41000;0;5;1
1;2;27;41000;0;3.75;1
0;1;23;23000;2;7.7;1
0;1;24;23000;2;6.45;1
0;1;25;23000;2;6.45;1
0;1;26;23000;0;2.5;1
0;1;27;17000;0;5;1
1;1;22;23000;2;5.2;1
1;1;23;23000;2;5.2;1
1;1;24;23000;2;5.2;1
1;1;25;23000;0;2.5;1
1;1;26;23000;0;2.5;0
1;0;22;40000;2;5.2;1
1;0;23;40000;2;3.95;1
1;0;24;40000;2;3.95;1
1;0;25;40000;0;1.25;1
1;0;26;40000;0;0;1
0;1;22;23000;2;5.2;1
0;1;23;23000;2;5.2;1
0;1;24;23000;2;5.2;1
0;1;25;23000;0;2.5;1
0;0;26;23000;0;0;1
1;0;21;46000;2;3.95;1
1;0;22;46000;2;2.7;1
1;0;23;46000;2;2.7;1
1;0;24;46000;0;0;1
1;0;25;46000;0;0;1
1;3;21;48000;2;7.7;1
1;3;22;48000;2;7.7;1
1;1;23;48000;2;7.7;1
1;1;24;48000;0;3.75;1
1;1;25;48000;0;3.75;1
0;1;21;0;2;5.2;1
0;1;22;0;2;5.2;1
0;1;23;23000;2;7.7;1
0;1;24;23000;0;5;1
0;1;25;23000;0;5;1
1;2;21;44000;2;7.7;1
1;2;22;44000;2;6.45;1
1;2;23;44000;2;6.45;1
1;1;24;44000;0;3.75;1
1;1;25;44000;0;2.5;1
0;2;21;44000;2;7.7;1
0;2;22;44000;2;6.45;1
0;2;23;44000;2;6.45;1
0;2;24;44000;0;3.75;1
0;2;25;44000;0;2.5;1
1;1;21;23000;2;7.7;1
1;1;22;23000;2;6.45;1
1;1;23;23000;2;6.45;1
1;1;24;23000;0;2.5;1
1;1;25;23000;0;5;1
0;2;1;44000;2;5.2;1
0;2;2;44000;2;5.2;1
0;1;3;44000;2;5.2;1
0;1;4;44000;0;2.5;1
0;0;5;44000;0;0;1
1;0;23;23000;2;7.5;1
1;0;24;23000;0;2.5;1
1;0;25;41000;1;6.15;1
1;2;21;46000;2;5.2;1
1;2;22;46000;2;5.2;1
1;2;23;46000;2;5.2;1
1;2;24;46000;0;2.5;1
1;2;25;46000;0;2.5;1
1;1;21;23000;2;7.7;1
1;1;22;23000;2;7.7;1
1;1;23;23000;2;7.7;1
1;1;24;23000;0;3.75;1
1;1;25;23000;1;5.1;1
0;2;20;23000;2;5.2;1
0;2;21;23000;2;5.2;1
0;1;23;23000;0;2.5;1
0;1;24;23000;0;2.5;1
1;2;20;42000;2;7.7;1
1;2;21;42000;2;6.45;1
1;2;22;42000;2;6.45;1
1;1;23;42000;0;3.75;1
1;1;24;42000;0;2.5;1
1;0;20;46000;2;5.2;1
1;0;21;46000;2;2.7;1
0;0;20;40000;2;5.2;1
0;0;21;40000;2;3.95;1
0;0;22;40000;2;3.95;1
0;0;23;40000;0;0;1
0;0;24;42000;0;2.5;1
0;3;20;23000;2;5.2;1
0;3;21;23000;2;5.2;1
0;3;22;23000;2;5.2;1
0;2;23;23000;0;2.5;1
0;2;24;23000;0;2.5;1
0;2;19;-1;2;6.45;1
0;2;20;-1;2;7.7;1
0;1;21;23000;2;7.7;1
0;1;22;23000;0;5;1
0;1;23;23000;0;5;1
1;2;19;23000;2;7.7;1
1;2;20;23000;2;7.7;1
1;2;21;23000;2;7.7;1
1;2;22;23000;0;3.75;1
1;2;23;23000;0;3.75;1
1;1;19;23000;2;5.2;1
1;1;20;23000;2;5.2;1
1;1;21;23000;2;5.2;1
1;1;22;23000;0;2.5;1
1;1;23;23000;0;2.5;1
1;3;18;42000;2;7.7;1
1;3;19;42000;2;7.7;1
1;3;20;42000;2;7.7;1
1;3;21;42000;0;3.75;1
1;3;22;42000;0;3.75;1
1;2;18;46000;2;6.45;1
1;2;19;46000;2;5.2;1
1;2;20;46000;2;5.2;1
1;2;21;46000;0;2.5;1
1;2;22;46000;0;2.5;1
0;1;18;42000;2;10;1
0;1;19;42000;2;7.7;1
0;1;20;42000;2;7.7;1
0;1;21;42000;0;3.75;1
0;1;22;42000;0;3.75;1
0;2;18;0;2;5.2;1
0;2;19;0;2;5.2;1
0;2;20;23000;2;7.7;1
0;1;21;40000;0;7.3;1
0;0;22;40000;0;2.5;1
0;1;17;0;2;5.2;1
0;1;18;0;2;5.2;1
0;0;19;23000;2;5.2;1
0;0;20;23000;0;2.5;1
0;0;21;23000;0;2.5;1
1;1;17;23000;2;5.2;1
1;1;18;23000;2;5.2;1
1;0;19;23000;2;2.7;1
1;0;20;23000;0;0;1
1;0;21;23000;0;0;1
0;0;17;42000;2;2.7;1
0;0;18;42000;2;2.7;1
0;0;19;42000;2;2.7;1
0;0;20;42000;0;0;1
0;0;21;42000;0;0;1
0;1;17;40000;2;7.7;1
0;1;18;40000;2;6.45;1
0;1;19;40000;2;6.45;1
0;1;20;40000;0;3.75;1
0;0;21;40000;0;0;1
1;2;17;42000;2;7.7;1
1;1;18;42000;2;6.45;1
1;0;19;42000;2;3.95;1
1;0;20;42000;0;1.25;1
1;0;21;42000;0;0;1
1;0;16;46000;2;5.2;1
1;0;17;46000;2;5.2;1
1;0;18;46000;2;3.95;1
1;0;19;46000;0;1.25;1
1;0;20;46000;0;1.25;1
1;1;16;21000;2;7.7;1
1;1;17;46000;2;10;1
1;2;18;46000;2;7.7;1
1;2;19;46000;0;3.75;1
1;2;20;48000;0;5;1
1;2;15;23000;2;7.7;1
1;2;16;23000;2;7.7;1
1;2;17;44000;2;10;1
1;2;18;44000;0;3.75;1
1;2;19;44000;1;6.35;1
1;0;15;46000;2;3.95;1
1;0;16;46000;2;2.7;0
1;0;17;46000;2;2.7;1
0;1;15;23000;2;7.7;1
0;1;16;23000;2;7.7;1
0;1;17;23000;2;7.7;1
0;1;18;23000;0;3.75;1
0;1;19;23000;0;3.75;1
1;2;15;46000;2;7.7;1
1;2;16;46000;2;7.7;1
1;2;17;46000;2;7.7;1
1;2;18;46000;0;3.75;1
1;2;19;46000;1;5.1;1
0;2;14;46000;2;6.45;1
0;2;15;46000;2;6.45;1
0;2;16;46000;2;6.45;1
0;2;17;46000;0;2.5;1
0;2;18;46000;0;2.5;1
0;0;14;44000;2;5.2;1
0;0;15;44000;2;5.2;1
0;0;16;44000;2;5.2;1
0;0;17;44000;0;1.25;1
0;0;18;44000;0;1.25;1
1;0;14;42000;2;2.7;1
1;0;15;42000;2;2.7;1
1;0;16;42000;2;2.7;1
1;0;17;42000;0;0;1
1;0;18;42000;0;0;1
1;2;14;42000;2;7.7;1
1;2;15;42000;2;6.45;1
1;2;16;42000;2;6.45;1
1;2;17;42000;0;3.75;1
1;2;18;42000;0;2.5;1
1;1;14;42000;2;6.45;1
1;1;15;42000;2;6.45;1
1;2;16;42000;2;6.45;1
1;2;17;42000;0;2.5;1
1;2;18;42000;0;2.5;1
1;0;14;46000;2;2.7;1
1;0;15;46000;2;2.7;1
1;0;16;46000;2;2.7;1
1;0;17;46000;0;0;1
1;0;18;46000;1;1.35;1
1;2;14;46000;2;7.7;1
1;2;15;48000;2;7.7;1
1;2;16;48000;2;7.7;1
1;2;17;48000;0;5;1
1;2;18;48000;1;5.1;1
1;1;14;46000;2;7.7;0
1;3;15;46000;2;7.7;1
1;3;16;46000;2;5.2;1
1;3;17;46000;0;5;1
1;3;18;46000;1;6.35;1
0;2;14;-1;2;7.7;1
0;2;15;17000;2;7.7;1
0;2;16;17000;2;7.7;1
0;2;17;17000;0;5;1
0;2;18;17000;0;3.75;1
1;0;14;46000;2;5.2;1
1;0;15;46000;2;3.95;1
1;0;16;46000;2;5.2;1
1;0;17;46000;0;2.5;1
1;0;18;46000;0;2.5;1
0;0;16;23000;2;3.95;1
0;0;17;23000;0;1.25;1
0;0;18;42000;0;4.8;1
0;0;14;23000;2;5.2;1
0;0;15;23000;2;5.2;1
0;0;16;23000;2;5.2;1
0;0;17;23000;0;2.5;1
0;0;18;46000;1;6.15;1
0;2;14;23000;2;7.7;1
0;2;15;23000;2;6.45;1
0;2;16;23000;2;6.45;1
0;2;17;23000;0;3.75;1
0;2;18;23000;0;2.5;1
1;1;13;0;2;5.2;1
1;1;14;0;2;5.2;1
1;2;15;0;2;5.2;1
1;2;16;0;0;2.5;1
1;2;17;0;0;2.5;1
1;2;13;42000;2;7.7;1
1;2;14;42000;2;6.45;1
1;2;15;42000;2;6.45;1
1;2;13;23000;2;7.7;1
1;2;14;23000;2;7.7;1
1;2;15;23000;2;6.45;1
1;2;16;23000;0;3.75;1
1;2;17;23000;0;3.75;1
1;1;13;-1;2;6.45;1
1;1;14;46000;2;7.7;1
1;1;15;46000;2;7.7;1
1;1;16;46000;0;5;1
1;1;17;46000;1;5.1;0
1;1;12;19000;2;5.2;1
1;1;13;19000;2;5.2;1
1;2;14;19000;2;5.2;1
1;2;15;19000;0;5;1
1;2;16;19000;0;5;1
1;0;12;42000;2;7.5;1
